Text,Ground Truth,docugami/dfm-csl-large
"SFA)) the sole business of which is to hold investments and the entire share capital of which is owned by one or more individuals, each of whom is an accredited investor; or",Accredited Investor Definition,Accredited Investor
"Increases limit for cost of bail bonds to $2,500, and for all reasonable expenses and loss of earnings to $500 per day",Bail Bond Limits Increase,Cost of Bail Bonds
"Vitals: Temp 35.9 Pulse 76 O2 98% RA RR 20 BP 159/111

                 General - NAD, sitting up in bed, well groomed and in nightgown Eyes - PERRLA, EOM intact ENT - Large swollen tounge and cheek on left side, tounge was large and obscured the view of the posterior oropharynx Neck - No noticeable or palpable swelling, redness or rash around throat or on face Lymph Nodes - No lymphadenopathy Cardiovascular - RRR no m/r/g, no JVD, no carotid bruits Lungs - Clear to auscltation, no use of acessory muscles, no crackles or wheezes. Skin - No rashes, skin warm and dry, no erythematous areas Breast - Psychiatry -

                 Abdomen - Normal bowel sounds, abdomen soft and nontender Genito Urinary – Genital exam not performed since complaints not related. Rectal – Rectal exam not performed since no symptoms indicated blood loss. Extremeties - No edema, cyanosis or clubbing Musculo Skeletal - 5/5 strength, normal range of motion, no swollen or erythematous

                        joints.",Vital Signs and Physical Exam,Neurological Exam Findings
"Crew Injuries:

            1 Fatal

                        Aircraft Damage:

             Substantial

           Passenger Injuries:

            N/A

                        Aircraft Fire:

           Ground Injuries:

            N/A

                        Aircraft Explosion:

           Total Injuries:

            1 Fatal

                        Latitude, Longitude:",Injury and Location Details,Accident Details
"Abdomen - Normal bowel sounds, abdomen soft and nontender Genito Urinary – Genital exam not performed since complaints not related. Rectal – Rectal exam not performed since no symptoms indicated blood loss. Extremeties - No edema, cyanosis or clubbing Musculo Skeletal - 5/5 strength, normal range of motion, no swollen or erythematous

                        joints.",Abdominal and Musculoskeletal Exam,Treatment Plan
Vitals: Temp 35.9 Pulse 76 O2 98% RA RR 20 BP 159/111,Elevated Blood Pressure,Neurological Exam Findings
"If you prefer, you can call the following toll-free number: 1-866-000-0000. Or you can write to us at InsuranceA, Street1, City, State ZipCode.",Contact Information,Building Coverage Details
Additional Participating Persons:,Additional Participating Persons,Participating Persons
"14. Choice of Law. This Agreement will be deemed to have been made in, and shall be construed pursuant to the laws of the State of Washington and the United States without regard to conflicts of laws provisions thereof. Any suit or proceeding arising out of or relating to this Agreement shall be commenced in a federal or state court in Kirkland, Washington, and each party irrevocably submits to the jurisdiction and venue of such courts.",Governing Law,Choice of Law and Venue
"Data Compromise Coverage

                                                                                                            $

                                                                                                                  124.00         - Response Expense 50,000

                                                                                                 2,500 2,500

        - Defense and Liability 50,000",Data Compromise Coverage Costs,Data Compromise Coverage Details
