text,label
"This Services Agreement (the “Agreement”) sets forth terms under which MagicSoft, Inc. a Washington Corporation (“Company”) located at 600 4th Ave, Seattle, WA 98104 shall provide services to Daltech, Inc., a Washington Corporation (the “Client”) located at 701 1st St, Kirkland, WA 98033. This Agreement is effective as of February 15, 2021 (“Effective Date”).",Agreement Preamble
"This agreement shall continue in force and effect until December 31, 2025 and shall be automatically renewed for successive one-year terms annually thereafter unless notice of non-renewal is given by the Company or the Client before the end of the term. Company shall have the right to modify, reject, or terminate any SOW and any related work in process with five days written notice to Client. In the event Company terminates the SOW prior to completion of Services, the Client shall pay Company the fees due under the SOW with respect to Services completed as of the date of termination. Payment for completed work will be deducted from the deposit. Company will retain the non-refundable 30% of the Deposit and return any unearned portion exceeding 30% of the Deposit. Any amount due for services performed by Company above the deposit will be billed to Client and Client shall promptly pay.",Termination Clause
"A term commencing on the Commencement Date and continuing for 84 full calendar months (plus any partial calendar month in which the Commencement Date falls), as extended or sooner terminated under the terms of this Lease. If the Commencement Date falls on a day other than the first day of a month, then for purposes of calculating the length of the Lease Term, the first month of the Lease Term shall be the month immediately following the month in which the Commencement Date occurs. Tenant shall pay prorated Rent calculated on a per diem basis for the partial month in which the Commencement Date occurs at the rate in effect for the first month of the Lease Term for which Rent has not been abated or reduced (i.e., $38.00 per square foot).",Term of Agreement
"In no event shall the Trustee be responsible or liable for any failure or delay in the performance of its obligations under this Indenture arising out of or caused by, directly or indirectly, forces beyond its reasonable control, including without limitation strikes, work stoppages, accidents, acts of war or terrorism, civil or military disturbances, nuclear or natural catastrophes or acts of God, and interruptions, loss or malfunctions of utilities, communications or computer (software or hardware) services.",Force Majeure
6.2.1. Additional Exclusion Criteria for Inpatient Dosing Days ......................................28,Inpatient Dosing Days Exclusion Criteria
"(g)  ""Modifications"" means Enhancements and/or correction of Errors, and Modifications shall be deemed to have been accepted by Licensee upon the lapse of sixty (60) days following successful installation of any Modifications unless Licensee notifies Licensor in writing prior to the lapse of such period that the Modifications in question do not conform to Specifications;",Modifications Definition
"R.O.C. corporate holders must include the interest or deemed interest receivable under the notes as part of their taxable income and pay income tax at a flat rate of 20 per cent. (unless the total taxable income for a fiscal year is under $500,000 New Taiwan Dollars) , as they are subject to income tax on their worldwide income on an accrual basis. The alternative minimum tax (‚ÄúAMT‚Äù) is not applicable.",Taxation Rules
"a. Admit to telemetry/9A.

                         b. Will obtain MRI/MRA to assess acuity of brain infarcts. Will obtain TTE to assess wall motion abnormalities in heart, given that patient has never had one in the past. Mural and valvular thrombi better visualized with TEE, but more invasive test.

                         c. Will restart ASA at 325 mg po qday, given patient has technically not failed aspirin therapy due to medication noncompliance.

                         d. Neuro checks q2hr on floor.

                         e. NPO until swallow evaluation.

                         f. PT/OT consults to assess rehab needs, cane usage, and work with residual weakness.
",Treatment Plan
"Obligations and Restrictions. Each party agrees: (i) to maintain the other party's Confidential Information in strict confidence; (ii) not to disclose such Confidential Information to any third party; and (iii) not to use such Confidential Information for any purpose except for the Purpose. Each party may disclose the other party‚Äôs Confidential Information to its employees and consultants who have a bona fide need to know such Confidential Information for the Purpose, but solely to the extent necessary to pursue the Purpose and for no other purpose; provided, that each such employee and consultant first executes a written agreement (or is otherwise already bound by a written agreement) that contains use and nondisclosure restrictions at least as protective of the other party‚Äôs Confidential Information as those set forth in this Agreement.",Confidentiality Obligations
was in the possession of the Receiving Party before such Information was imparted or disclosed by the Disclosing Party;,Existing Information
"The notes are not bank deposits and are not insured by the Federal Deposit Insurance Corporation or any other governmental agency, nor are they obligations of, or guaranteed by, a bank.",Uninsured Notes
